query,gui_indexes,relevance
alarm,"[35918, 70077, 70076, 37140, 7397, 20279, 4399, 66744, 1869, 1877, 39501, 61405, 1199, 56055, 61409, 1201, 63252, 16065, 43218, 33936, 56069, 57386, 45208, 58608, 10127, 35931, 13428, 70514, 551, 1873]","[1, 2, 2, 2, 3, 1, 2, 2, 1, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2]"
unknown album playlist,"[39515, 23337, 63946, 29732, 23338, 4971, 47456, 17488, 45113, 53010, 55480, 37392, 39516, 55483, 58693, 64413, 17486, 12816, 27053, 58309, 5209, 18450, 27041, 34334, 44031, 18219, 55481, 56746, 18218, 56492]","[2, 3, 0, 2, 1, 1, 3, 3, 0, 3, 1, 0, 3, 1, 0, 2, 3, 2, 0, 0, 3, 1, 3, 1, 3, 1, 1, 1, 1, 0]"
photo viewer,"[31048, 26125, 50872, 22827, 42957, 12629, 61005, 42724, 4132, 61003, 6610, 56331, 61006, 6604, 40262, 21844, 6607, 14944, 22998, 53621, 66813, 37209, 6753, 66811, 22996, 53619, 45812, 37221, 4246, 56333]","[2, 2, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0]"
Confirmation dialogue box for switching application with option to proceed and go back,"[21297, 62755, 50845, 66489, 22374, 23863, 31080, 22375, 61514, 57726, 26784, 50839, 54802, 26786, 18559, 6057, 36175, 19704, 70977, 40562, 2565, 48212, 37854, 19707, 37461, 43047, 67673, 23368, 46010, 71579]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Android application typical notification window,"[52436, 23226, 21697, 70206, 47861, 19585, 7866, 17231, 29111, 27815, 32234, 54834, 30662, 17213, 51276, 17326, 71550, 14494, 7864, 38927, 14492, 27821, 14188, 6881, 4133, 22892, 61626, 61163, 58467, 51615]","[3, 3, 3, 0, 2, 0, 3, 0, 0, 1, 2, 0, 1, 2, 2, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 3, 2, 0, 0, 0]"
List of chapers with name and status,"[64519, 71555, 63413, 18070, 21623, 20700, 32239, 32246, 63411, 54236, 49880, 1530, 24757, 46458, 5113, 60143, 65802, 1528, 14520, 65812, 66602, 14531, 65817, 54240, 22290, 1354, 66601, 60140, 65801, 21622]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
request for application update,"[54682, 64155, 25594, 50312, 11912, 39450, 50309, 19695, 48891, 63491, 64310, 58010, 5982, 51497, 9391, 64218, 38712, 40102, 68994, 27835, 19452, 6234, 68037, 40112, 11507, 8970, 18098, 51964, 38707, 191]","[2, 0, 2, 0, 0, 2, 0, 2, 0, 2, 0, 0, 0, 2, 2, 2, 0, 1, 2, 3, 3, 0, 3, 3, 2, 0, 0, 2, 0, 0]"
List of states and a menu,"[6622, 55643, 39937, 61970, 39943, 35165, 46485, 51608, 67427, 17062, 51606, 42908, 62277, 63830, 40728, 12315, 6613, 13672, 30109, 61969, 45551, 30121, 61975, 45435, 12321, 61972, 39528, 29833, 61971, 25944]","[2, 2, 0, 2, 0, 1, 0, 3, 3, 0, 3, 3, 0, 1, 3, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1]"
low carbs shakes,"[65741, 41575, 41578, 31693, 41583, 56219, 216, 13950, 29829, 5266, 6045, 29827, 14277, 45127, 64343, 37252, 45134, 43570, 23783, 55063, 66643, 53251, 41582, 30044, 23777, 40837, 63396, 14278, 39168, 25385]","[3, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Application screen for find the phone number information,"[15516, 65912, 61377, 60629, 18830, 58557, 29486, 31116, 42527, 44853, 44299, 43318, 20944, 71653, 46855, 43406, 18832, 67198, 14117, 5108, 67201, 60628, 63535, 41333, 17098, 57615, 21800, 47736, 32600, 7239]","[2, 0, 0, 2, 0, 2, 2, 2, 0, 0, 0, 2, 0, 0, 2, 2, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
search bar with  list of application with its image,"[61954, 18491, 51615, 37789, 21770, 9978, 64021, 28177, 9970, 7271, 22109, 61377, 26930, 21772, 68456, 62732, 35109, 23394, 16486, 17489, 17349, 68436, 18218, 19229, 61569, 18219, 39488, 17331, 47772, 54278]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Translation page with UI,"[70252, 68647, 40348, 2975, 71631, 35988, 31190, 26142, 39007, 39237, 56898, 4453, 8966, 66730, 40346, 14573, 18755, 14569, 14567, 8905, 6992, 9892, 19447, 35989, 7653, 26139, 4458, 8962, 56895, 4464]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 2, 3, 3, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
search bar with key words under specified categories,"[56905, 45201, 47225, 55512, 2931, 47226, 8570, 44345, 47247, 64305, 45388, 56355, 64303, 45387, 47221, 22730, 30399, 39252, 22742, 63712, 65910, 24725, 36189, 39246, 51499, 27410, 21876, 67089, 56351, 61344]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
most viewed report of the week,"[47628, 11636, 29712, 19869, 48013, 36372, 37760, 48018, 39648, 37759, 57795, 44247, 48465, 67407, 35252, 9227, 36373, 42640, 51270, 36371, 35242, 40108, 70116, 9233, 17083, 10215, 57971, 17087, 10212, 68826]","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0]"
French appl for traffic stations,"[10002, 43463, 15997, 69629, 57564, 62238, 39334, 69615, 34532, 69626, 31157, 29439, 22138, 31144, 7050, 37488, 61688, 44885, 69619, 69620, 28202, 39348, 39461, 56942, 39338, 29441, 21426, 3188, 15987, 37790]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 3, 3, 0, 0, 1, 1]"
sharing hair care tips through various mediums,"[71288, 71286, 71287, 555, 34700, 55986, 28739, 4205, 57917, 20072, 28737, 62888, 54219, 34690, 65519, 25412, 4539, 50410, 25413, 6724, 35607, 32489, 70956, 44233, 52045, 6722, 35605, 4544, 554, 36879]","[2, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 0, 0, 0, 0, 2, 2, 0, 0, 2, 0]"
find your life partner,"[24661, 50879, 46644, 50889, 60225, 50887, 57681, 60229, 5384, 22644, 60233, 5387, 48881, 60217, 6181, 51595, 26305, 6172, 41132, 24655, 41127, 3308, 41131, 23006, 39324, 56168, 51594, 39323, 41126, 24653]","[3, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2]"
food photo with ingredients,"[42425, 21284, 59843, 40847, 34877, 13727, 60614, 62623, 60609, 60611, 23089, 60613, 42422, 65086, 13722, 31439, 7770, 27984, 32477, 7776, 30368, 35915, 34871, 44461, 9269, 65088, 45964, 6391, 62617, 29122]","[2, 0, 0, 2, 0, 3, 3, 1, 3, 3, 2, 1, 2, 2, 0, 1, 0, 1, 1, 3, 1, 1, 0, 1, 1, 2, 3, 1, 3, 3]"
google map with search bar,"[24749, 25788, 52816, 4414, 58552, 4218, 4416, 60991, 46881, 60282, 43743, 60544, 50060, 52129, 9978, 53744, 54527, 9970, 9843, 44792, 14689, 66563, 21723, 60543, 6191, 21717, 62605, 31865, 67545, 70756]","[2, 2, 3, 0, 2, 1, 0, 2, 2, 2, 1, 2, 2, 2, 0, 2, 0, 0, 2, 1, 0, 1, 2, 2, 2, 2, 2, 3, 3, 1]"
login screen,"[45861, 18830, 69548, 6309, 3758, 141, 6364, 52932, 20071, 31776, 59208, 42005, 30102, 18832, 39998, 16241, 14615, 29481, 35225, 26827, 47741, 140, 50487, 71940, 22542, 21042, 65903, 15939, 38655, 1552]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 3, 0, 2, 2, 2, 2, 2, 2]"
"Filter Nav bar with Search icon, Cart, product name, product image, product rating and Menu","[17175, 43494, 32426, 32422, 54122, 44828, 71623, 39398, 44818, 44826, 7596, 4069, 44844, 43495, 27125, 36855, 39425, 32431, 44824, 58380, 14715, 36856, 44819, 4068, 36858, 44829, 32420, 4621, 44841, 27120]","[2, 3, 1, 1, 3, 3, 3, 0, 3, 3, 3, 0, 3, 3, 3, 1, 2, 0, 0, 1, 1, 0, 2, 0, 0, 2, 3, 3, 1, 3]"
Translation with results,"[16357, 18755, 35988, 31190, 26142, 39007, 4453, 8966, 2975, 14573, 26139, 14569, 35989, 23163, 6992, 35986, 55484, 4458, 14567, 41113, 4464, 9892, 8962, 42434, 4456, 49552, 42466, 35378, 4463, 42462]","[2, 2, 0, 1, 0, 0, 0, 0, 1, 1, 1, 3, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
Post results with postings,"[29061, 68044, 41172, 68039, 68048, 1588, 20490, 68050, 7694, 2330, 17180, 7702, 51282, 43933, 26823, 43764, 47315, 50099, 29704, 11129, 42434, 3966, 7197, 42466, 17091, 55948, 42462, 43793, 55951, 42455]","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 3, 2, 0, 3, 2, 2, 0, 2, 2, 1, 2, 2]"
pop up menu,"[19063, 5883, 62738, 56761, 9810, 32771, 9030, 72161, 10281, 23272, 72155, 14378, 9025, 72168, 14374, 33273, 52107, 56749, 65570, 72152, 56778, 38098, 49232, 40304, 33280, 57773, 41586, 65680, 37287, 14372]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 2, 0, 0, 0, 0, 2, 0, 0, 3, 3]"
Menu with menu options,"[40960, 2274, 2270, 32998, 32997, 45959, 14226, 45956, 66489, 25400, 33637, 18535, 25403, 33906, 45962, 1686, 61125, 65542, 14932, 28684, 51704, 56432, 28685, 33003, 60970, 33635, 54292, 70043, 26963, 59360]","[2, 0, 0, 2, 0, 0, 2, 0, 3, 2, 0, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 0, 2]"
Web advertising for online shop,"[43530, 60571, 14553, 14878, 28366, 39575, 6305, 35811, 36809, 14879, 35461, 34244, 42733, 65101, 36806, 31705, 6918, 66247, 1187, 61747, 14300, 56464, 6938, 56472, 60650, 23316, 291, 31703, 25048, 9506]","[2, 0, 0, 3, 0, 0, 0, 1, 0, 3, 3, 2, 2, 3, 0, 0, 3, 0, 0, 3, 1, 2, 3, 2, 0, 0, 0, 0, 0, 2]"
"Registration with email, full name, public username and country","[40401, 43084, 68057, 36431, 38653, 5905, 36418, 33560, 59799, 47181, 39541, 71588, 72145, 15666, 58764, 39194, 33562, 70150, 72147, 34123, 58502, 64213, 33193, 61437, 46750, 28103, 2960, 51629, 65379, 70153]","[2, 2, 1, 1, 2, 1, 1, 3, 1, 1, 2, 0, 1, 2, 2, 1, 1, 1, 1, 2, 3, 1, 1, 1, 0, 2, 0, 3, 0, 3]"
"test article, options","[46234, 279, 1562, 16502, 37326, 48907, 16503, 37324, 1558, 2850, 5744, 45400, 2856, 9959, 1841, 39287, 9967, 1845, 67984, 42291, 45392, 59466, 61125, 45399, 36171, 41495, 36173, 10809, 48573, 21732]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 2, 3, 3, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0]"
Microsoft corp with stock,"[30461, 34629, 23701, 58967, 40606, 69182, 5176, 5196, 63167, 16051, 18111, 5192, 47803, 30460, 18106, 7740, 63166, 5194, 34514, 34633, 3172, 42290, 55064, 3169, 5185, 71326, 3170, 16046, 22432, 69183]","[2, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
selecting different devices,"[39281, 43361, 58541, 1042, 4366, 4934, 60557, 44889, 65656, 15546, 14110, 57288, 65638, 42929, 8749, 20699, 71875, 10743, 50603, 40225, 48219, 28569, 26236, 45139, 43525, 31435, 4162, 11868, 66150, 4170]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
sharing files service,"[53377, 55986, 57917, 8526, 62888, 47520, 36879, 50410, 47515, 47059, 32616, 27860, 603, 16581, 38026, 54398, 54595, 60454, 27857, 3439, 40237, 15066, 8992, 48522, 27877, 40240, 40239, 66875, 43312, 47054]","[2, 2, 2, 0, 0, 0, 0, 1, 0, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
Personalised Timer,"[35384, 36335, 11490, 11489, 25260, 18992, 56799, 65997, 18991, 17912, 70080, 12654, 47249, 58751, 37256, 63066, 58742, 63069, 49326, 60044, 8539, 61610, 56280, 37257, 38612, 36636, 37262, 54493, 36637, 17487]","[2, 0, 2, 2, 0, 2, 2, 0, 2, 1, 1, 0, 2, 2, 3, 2, 2, 2, 3, 0, 0, 3, 0, 0, 0, 2, 0, 2, 2, 2]"
food tutorial apps with background music,"[61223, 26861, 5948, 19778, 35213, 5941, 2954, 47191, 5937, 2951, 49485, 57909, 13073, 52770, 58017, 13649, 32130, 58005, 30408, 45092, 17235, 71255, 27045, 57146, 13072, 38358, 48312, 26981, 21630, 30403]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
search bar that include the dish and resturent name,"[4793, 68399, 68400, 68401, 56513, 40981, 60970, 56507, 56510, 1686, 25071, 7099, 70043, 5267, 9978, 925, 5256, 9970, 59016, 56512, 41325, 60965, 56514, 10371, 921, 5258, 2510, 912, 56498, 45597]","[1, 0, 3, 0, 0, 3, 0, 1, 1, 3, 0, 3, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 2, 0]"
News with detail,"[39546, 25199, 25209, 25205, 25201, 25206, 17803, 5600, 34978, 34980, 5595, 34982, 17797, 30356, 34983, 22038, 17805, 19136, 22058, 59966, 23402, 22061, 59947, 45120, 16495, 51119, 69247, 20712, 26451, 54133]","[2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 2, 0, 2, 2, 0, 2, 2, 0, 0, 3, 0, 3, 3, 0]"
App for jokes and funny image posting,"[53353, 19736, 49054, 53352, 22469, 28424, 29408, 22465, 28425, 6579, 22468, 50890, 29410, 19735, 56286, 17201, 22467, 13754, 60230, 33897, 54575, 4292, 22466, 57367, 12694, 55885, 57373, 41434, 57835, 29407]","[2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
creating profile with  email using username email id and password,"[40816, 40817, 25007, 51629, 12733, 36431, 43386, 35682, 37452, 47181, 2835, 36418, 49245, 29074, 3141, 71558, 10221, 60077, 49238, 39194, 62256, 14438, 69010, 65775, 43615, 59738, 20728, 39480, 101, 69560]","[2, 2, 0, 3, 2, 2, 3, 2, 0, 3, 2, 2, 0, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 0]"
Travel with ease with tracking,"[7899, 17322, 49188, 60784, 31634, 49189, 9520, 13706, 13718, 46620, 13697, 13698, 44785, 13720, 13713, 13696, 3195, 13700, 24523, 68599, 64884, 66999, 10501, 21922, 27322, 10500, 47837, 49682, 3116, 44782]","[0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0]"
history of experienced staff,"[14251, 71745, 7687, 22141, 42365, 9599, 17007, 16364, 128, 67037, 47229, 28508, 67048, 23619, 58976, 63729, 58996, 35187, 56168, 37761, 35200, 67032, 22643, 38572, 67038, 13804, 15332, 67046, 13805, 6895]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Mp3 + player +  software,"[39444, 34045, 46842, 56745, 34048, 38564, 56743, 34042, 3970, 3963, 36622, 44197, 42202, 33694, 25581, 42193, 33695, 60359, 6571, 9390, 56764, 18877, 34043, 17896, 55482, 19019, 16477, 35005, 5965, 69236]","[2, 0, 0, 2, 0, 0, 2, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 3, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
app for football team players overview with videos,"[5478, 46169, 40209, 7230, 39069, 56086, 40212, 6798, 43131, 7234, 46193, 8522, 40792, 55442, 55542, 56081, 55443, 10428, 8192, 17875, 31510, 43109, 17868, 39075, 23636, 46190, 7593, 19104, 31521, 5419]","[2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 3, 1, 0, 0, 3, 0, 3, 0]"
Chinese dating app describing its features,"[56919, 69873, 60172, 26879, 31025, 24568, 3911, 29625, 30057, 55745, 32212, 11745, 31124, 23447, 62458, 32441, 44280, 43181, 23448, 11649, 27558, 66461, 57244, 64058, 40768, 26875, 4669, 7126, 35981, 44899]","[2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
Tutorial for newly installed browser,"[65334, 55467, 5940, 10926, 53027, 5948, 57324, 50726, 5941, 50725, 8277, 5937, 57148, 50728, 57909, 38362, 49219, 58017, 57146, 59728, 58005, 30408, 35602, 17235, 30403, 32291, 48312, 57149, 61688, 5935]","[2, 2, 0, 2, 1, 0, 0, 2, 0, 2, 0, 3, 2, 2, 0, 2, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
cheese,"[64438, 42425, 34872, 48383, 44867, 7926, 48390, 50074, 21276, 23369, 65086, 21257, 24747, 34583, 42420, 41641, 41642, 44455, 48397, 50481, 21256, 24744, 50495, 22985, 50501, 52091, 43418, 43428, 52107, 6827]","[0, 1, 1, 0, 0, 3, 0, 3, 2, 3, 1, 0, 0, 0, 3, 0, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 2, 0, 0, 0]"
bottom menu,"[47832, 66396, 71846, 37173, 28942, 71825, 55414, 67723, 71832, 37165, 67724, 71843, 19203, 58009, 71827, 71833, 56955, 71838, 57888, 58520, 42101, 37168, 56969, 71836, 71841, 56957, 5013, 37174, 4745, 58002]","[3, 2, 0, 3, 2, 3, 3, 2, 3, 3, 2, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 0, 0, 2]"
create notifications,"[52979, 61308, 35910, 6881, 13571, 38633, 18967, 11093, 38622, 5979, 51133, 38623, 42436, 61909, 38630, 30880, 46303, 19442, 66562, 42533, 45527, 9903, 9584, 4146, 6859, 54585, 38627, 71206, 61902, 18461]","[3, 3, 0, 3, 3, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
web advertising for an app with continue and skip button,"[1942, 29751, 44916, 53920, 49433, 63601, 16713, 62579, 63599, 64591, 19838, 12865, 46524, 20882, 61236, 5709, 71177, 1187, 2222, 25582, 29177, 46520, 29515, 61167, 14878, 57480, 1198, 14879, 69734, 34244]","[2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 3, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]"
Model Selection,"[4616, 24027, 24037, 24042, 30037, 24048, 45159, 3856, 68730, 24036, 23601, 40998, 24038, 3294, 13200, 45925, 18248, 45730, 69325, 8382, 40250, 69326, 66158, 17225, 34170, 34180, 27091, 9449, 45573, 44732]","[3, 0, 2, 1, 2, 2, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 2, 0, 3, 1, 0, 0, 0, 1]"
search location,"[52330, 50622, 28541, 50635, 28268, 12142, 2703, 4176, 9133, 9137, 9136, 55489, 17101, 9139, 28757, 14772, 70510, 43184, 48309, 28543, 11838, 25717, 58770, 47609, 69761, 64021, 52054, 26422, 22148, 51084]","[3, 0, 2, 2, 3, 2, 2, 2, 2, 0, 2, 2, 3, 2, 2, 2, 3, 1, 3, 0, 3, 2, 0, 0, 2, 0, 0, 0, 0, 0]"
Text window wth search tool,"[71819, 23519, 19585, 36058, 27515, 4120, 29111, 23522, 66870, 16190, 27510, 14494, 27517, 27513, 14492, 23514, 23516, 7370, 27508, 23520, 36620, 23517, 70631, 66868, 27511, 56490, 41804, 44779, 23524, 21833]","[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 2, 2, 2, 0, 3, 2, 0, 0, 1, 0, 0, 1, 0]"
sign up with email,"[31541, 23275, 47884, 26268, 28252, 20107, 25306, 18963, 35995, 24155, 65962, 20432, 34571, 36857, 40122, 7361, 3730, 20102, 45552, 54269, 20515, 7648, 34371, 64349, 68853, 10625, 58377, 38923, 4451, 59844]","[2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2]"
GPS Location finder,"[39575, 45551, 5224, 24979, 22012, 15459, 68856, 20880, 71763, 19772, 5036, 5034, 19777, 20882, 9001, 45408, 35696, 4182, 19771, 20879, 71761, 26, 27683, 29737, 20997, 20966, 42174, 65774, 27688, 58296]","[2, 2, 0, 2, 0, 0, 2, 2, 0, 3, 0, 2, 0, 2, 0, 3, 3, 3, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
choose a location,"[40965, 8609, 50835, 11838, 58770, 35887, 57308, 53783, 21302, 2363, 44882, 55896, 38311, 37643, 28757, 20305, 45408, 2665, 34314, 2360, 71375, 12036, 53787, 13255, 47609, 26284, 43184, 58885, 16212, 8655]","[2, 3, 0, 3, 1, 0, 0, 1, 0, 3, 1, 0, 3, 0, 1, 0, 2, 0, 2, 0, 0, 2, 3, 0, 2, 0, 0, 3, 0, 1]"
RN Mentor Quiz,"[54284, 54288, 54287, 59399, 54290, 53108, 25017, 54283, 27630, 45692, 54282, 27612, 25019, 54289, 60684, 60686, 53106, 5465, 71914, 4502, 60683, 61335, 53102, 5464, 60682, 53103, 41551, 27607, 3205, 27621]","[2, 3, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 3, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 3]"
shopping categories,"[37710, 53722, 69527, 64303, 22741, 8170, 8467, 64426, 55532, 4186, 53484, 10423, 42803, 44359, 19345, 16665, 55533, 64305, 44776, 53496, 4188, 50900, 27118, 8052, 50892, 34847, 21282, 66325, 53727, 4183]","[3, 3, 1, 3, 3, 1, 2, 2, 1, 1, 0, 0, 2, 0, 1, 3, 2, 0, 0, 2, 1, 2, 2, 1, 2, 0, 1, 2, 3, 1]"
guitar lessons app for left handed people,"[38823, 20300, 44677, 35636, 52433, 31171, 5667, 49325, 50051, 46782, 35652, 44676, 50056, 44678, 3750, 6739, 35645, 26771, 35646, 26560, 6596, 35655, 26561, 39189, 30393, 26570, 35796, 35638, 26567, 32978]","[0, 2, 0, 0, 2, 0, 1, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
Weather Forecast,"[7725, 13975, 64366, 21890, 13964, 64368, 42799, 14854, 48060, 42796, 3313, 48056, 42797, 49057, 52347, 66039, 37109, 58406, 33310, 37010, 68877, 48178, 33705, 53658, 28199, 16738, 58409, 32457, 58873, 51336]","[2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 0, 0, 0, 2, 2, 2, 2, 2, 3, 2, 2, 1, 2, 2, 1, 2, 2, 2]"
Card with image and text with link button,"[51118, 29187, 28220, 11258, 29194, 2221, 63601, 29189, 2218, 63599, 26169, 2219, 12865, 44128, 65621, 42781, 13556, 61236, 34482, 18768, 28223, 33358, 34444, 28224, 65909, 28005, 29911, 46981, 65671, 29913]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
sign up for baby care,"[52122, 41640, 37210, 37230, 57489, 37219, 57488, 37815, 5912, 41630, 69353, 27073, 36673, 37819, 27081, 41631, 47691, 27095, 69940, 37817, 27090, 41637, 47706, 69944, 57499, 36680, 41629, 37081, 36348, 69942]","[2, 1, 2, 2, 1, 2, 1, 2, 2, 3, 0, 2, 2, 1, 2, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]"
weather and forecasting app with weather station selection,"[56692, 52328, 19805, 50636, 56701, 29502, 66455, 17333, 37011, 22854, 19233, 68875, 66586, 6636, 41747, 66596, 68434, 63435, 70428, 23399, 29800, 41740, 54277, 57080, 16846, 65396, 51159, 36651, 53210, 68258]","[0, 1, 1, 2, 1, 0, 2, 1, 0, 2, 1, 2, 0, 0, 2, 0, 3, 2, 2, 3, 2, 2, 3, 2, 2, 0, 2, 3, 1, 2]"
Country picker,"[68533, 7953, 7952, 64589, 1073, 18086, 56867, 23207, 1777, 18637, 47152, 2368, 22903, 47489, 57115, 21347, 5864, 61437, 67243, 42394, 44312, 3044, 59097, 65818, 20135, 32170, 71258, 26280, 54758, 37446]","[0, 2, 2, 3, 2, 0, 0, 2, 2, 0, 2, 2, 0, 0, 0, 0, 2, 2, 0, 2, 2, 0, 1, 2, 0, 0, 2, 0, 2, 2]"
buying many items at once,"[38078, 40117, 40109, 40799, 58090, 58084, 40800, 63307, 66679, 10598, 63312, 32815, 55553, 40128, 32819, 17444, 70279, 44150, 69344, 29409, 55531, 59102, 50039, 47831, 4183, 63302, 69235, 64073, 62390, 69241]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
